id,scan_type,name,description,category,policy_url,remediation_url,created_at,updated_at
81959ec3-2b6d-4bd4-b94b-6ce2533524bb,external_vulnerability,No High and Up external vulnerabilities,No High and Up scored external vulnerability to be present in an analyzed project.,Vulnerabilities,url,url,2018-05-31 16:59:25.89316,2018-05-31 16:59:25.89316
a053a87e-2e69-4f32-8d6f-fe61bd686821,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 0%,"Compares code coverage against the prior analysis, and checks for any drop in code coverage.",external_coverage,url,url,2018-05-31 16:59:25.900435,2018-05-31 16:59:25.900435
ae0c3362-620d-488b-baad-6d1c63ea8ce7,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 1%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 1%.",external_coverage,url,url,2018-05-31 16:59:25.903807,2018-05-31 16:59:25.903807
60c64600-b826-4691-9b21-e3b6f918d0a9,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 2%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 2%.",external_coverage,url,url,2018-05-31 16:59:25.906739,2018-05-31 16:59:25.906739
d42d82c7-ac71-4d65-a4bc-27df95e45933,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 3%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 3%.",external_coverage,url,url,2018-05-31 16:59:25.909887,2018-05-31 16:59:25.909887
f9b58a44-b614-4b92-adc7-11105371cdc4,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 4%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 4%.",external_coverage,url,url,2018-05-31 16:59:25.912373,2018-05-31 16:59:25.912373
774e040a-818f-4a02-81ad-4cab376f1c4b,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 5%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 5%.",external_coverage,url,url,2018-05-31 16:59:25.914869,2018-05-31 16:59:25.914869
c14ceff3-96f9-47a4-a933-1895e435bbd4,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 6%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 6%.",external_coverage,url,url,2018-05-31 16:59:25.921257,2018-05-31 16:59:25.921257
3dc3084d-dba5-4f1d-9913-eea16e5b35c2,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 7%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 7%.",external_coverage,url,url,2018-05-31 16:59:25.925446,2018-05-31 16:59:25.925446
09e28982-e3bd-4380-8712-a526cb024130,compare_previous_code_coverage,Code Coverage Will Not Drop By More Than 8%,"Compares code coverage against the prior analysis, and checks for a drop in code coverage greater than 8%.",external_coverage,url,url,2018-05-31 16:59:25.931303,2018-05-31 16:59:25.931303
