id,team_id,project_id,build_number,name,text,type,source,branch,description,status,ruleset_id,created_at,updated_at,duration,trigger_hash,trigger_text,trigger_author,suspect,public
87ccb240-1150-4cc7-8194-8bd5685b9b59,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,1,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.036733,14676.6540310018008,,,,,f
1696f98c-474f-484d-9264-d6b2fd4fe2bd,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,2,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.137955,14676.6540310018008,,,,,f
a826623e-af74-4372-90cd-582dac8194e7,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,3,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.226921,14676.6540310018008,,,,,f
5822bb2b-9979-4800-bc0c-f09f71af2abb,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,4,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.326308,14676.6540310018008,,,,,f
66b2d951-1983-485c-aca8-c901424eb4a1,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,5,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.423636,14676.6540310018008,,,,,f
b7641c70-ac56-4e28-b5be-c0fe3d63b26a,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,6,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.527993,14676.6540310018008,,,,,f
7c52cffe-a4e9-4b15-946b-506f4a3aa672,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,7,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.626128,14676.6540310018008,,,,,f
51dc7eda-7238-42a4-b5bb-db8c609a8a69,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,8,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.723052,14676.6540310018008,,,,,f
79493587-3ce2-448e-9a75-6286f114e773,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,9,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.815311,14676.6540310018008,,,,,f
f4a0fbd7-3a64-46ab-a59b-78dd0aa5a713,bbd16a1b-05b5-40f8-9bc8-b3e8fcf9116c,8ca10aea-7451-4fba-920e-e0abab735071,10,compliance analysis,,git,git@github.com:ion-channel/ionmockjavaapp.git,master,somedescription,finished,85d05a6b-bc96-430e-8e81-ba87cab84230,2018-05-31 16:59:33,2018-05-31 16:59:33.916014,14676.6540310018008,,,,,f
